top_n,ann_ret,ann_vol,sharpe,max_dd,t_stat,p_value
10,14.7318%,0.08,1.89,6.94%,1.29,0.2
30,18.4180%,0.08,2.42,6.62%,1.65,0.1016
50,11.7176%,0.06,1.82,5.70%,1.24,0.2169
